R3786901,YEMP_STARTDATE.06~M
R3786902,YEMP_STARTDATE.06~Y
R3787001,YEMP_STARTDATE.07~M
R3787002,YEMP_STARTDATE.07~Y
R3787101,YEMP_STARTDATE.08~M
R3787102,YEMP_STARTDATE.08~Y
R3787201,YEMP_STARTDATE.09~M
R3787202,YEMP_STARTDATE.09~Y
R3787301,YEMP_STOPDATE.01~M
R3787302,YEMP_STOPDATE.01~Y
R3787401,YEMP_STOPDATE.02~M
R3787402,YEMP_STOPDATE.02~Y
R3787501,YEMP_STOPDATE.03~M
R3787502,YEMP_STOPDATE.03~Y
R3787601,YEMP_STOPDATE.04~M
R3787602,YEMP_STOPDATE.04~Y
R3787701,YEMP_STOPDATE.05~M
R3787702,YEMP_STOPDATE.05~Y
R3787801,YEMP_STOPDATE.06~M
R3787802,YEMP_STOPDATE.06~Y
R3787901,YEMP_STOPDATE.07~M
R3787902,YEMP_STOPDATE.07~Y
R3788001,YEMP_STOPDATE.08~M
R3788002,YEMP_STOPDATE.08~Y
R3788101,YEMP_STOPDATE.09~M
R3788102,YEMP_STOPDATE.09~Y
R3876300,CV_AGE_INT_DATE
R3884801,CV_HGC_9900
R3884900,CV_INCOME_GROSS_YR
R3888900,CV_HRLY_PAY.01
R3889000,CV_HRLY_PAY.02
R3889100,CV_HRLY_PAY.03
R3889200,CV_HRLY_PAY.04
R3889300,CV_HRLY_PAY.05
R3889400,CV_HRLY_PAY.06
R3889500,CV_HRLY_PAY.07
R3889600,CV_HRLY_PAY.08
R3889700,CV_HRLY_PAY.09
R3899100,CV_URBAN-RURAL
R4471400,YEMP-58500.01
R4471500,YEMP-58500.02
R4471600,YEMP-58500.03
R4471700,YEMP-58500.04
R4471800,YEMP-58500.05
R4471900,YEMP-58500.06
R4472000,YEMP-58500.07
R4472100,YEMP-58500.08
R4472200,YEMP-58500.09
R4766800,YEMP-101100.01
R4766900,YEMP-101100.02
R4767000,YEMP-101100.03
R4767100,YEMP-101100.04
R4767200,YEMP-101100.05
R4767300,YEMP-101100.06
R4767400,YEMP-101100.07
R4767500,YEMP-101100.08
R4767600,YEMP-101100.09
R4771900,YEMP-101200.01
R4772000,YEMP-101200.02
R4772100,YEMP-101200.03
R4772200,YEMP-101200.04
R4772300,YEMP-101200.05
R4772400,YEMP-101200.06
R4772500,YEMP-101200.07
R4772600,YEMP-101200.08
R4772700,YEMP-101200.09
R5310101,YEMP_STARTDATE.01~M
