job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,0,-0.348869315486275,-9.180288461538463,-1.425137362637363,0.3023915657404092,-2.6158970296657564,1.533951420443774,1,3.2027209515434722,0.497186696177212,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2644421467409223,-4.978365384615387,-1.8289835164835164,0.3023915657404092,-2.6992303629990886,1.533951420443774,1,-1.3164896295683903,-0.48366032745266213,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2157165544777104,-1.2091346153846168,-1.367445054945055,0.3023915657404092,-2.7825636963324243,0.7389459483257728,1,-0.26083035313050107,-0.29498053569033067,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,0,0.2003443854549527,-0.9206730769230766,-1.944368131868132,0.3023915657404092,-2.8658970296657564,0.7389459483257728,1,-0.18445168180107419,-0.38954323847731537,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3,1,0,0.1847322187673086,-0.8533653846153868,-2.0789835164835164,0.3023915657404092,-2.9492303629990886,0.7389459483257728,1,-0.15764408091921808,-0.3840552377806615,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2316069815845516,-1.0456730769230766,0.3056318681318681,0.3023915657404092,-3.0325636963324243,1.2926920120171772,1,-0.24218518507038442,0.07078647445406967,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2784806627188914,0.0600961538461497,2.0940934065934065,0.3023915657404092,-3.1158970296657564,1.6093599317865852,1,0.016735616749932222,0.5831645196633927,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.5250801894781869,4.665865384615383,-1.117445054945055,0.3023915657404092,-3.1992303629990886,2.3574978317407744,1,2.449953480233559,-0.5867482611820124,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,0,0.2266673235097922,2.329326923076924,3.555631868131868,0.3023915657404092,-3.2825636963324243,2.3574978317407744,1,0.527982299233146,0.805945558935573,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,0,0.5130290586954729,5.21394230769231,-0.2135989010989012,0.3023915657404092,-3.3658970296657564,1.8242509677426104,1,2.6749039142078876,-0.10958244316915669,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,-1.100169705646857,5.733173076923077,-1.2520604395604396,0.3023915657404092,-3.4492303629990886,1.8242509677426104,1,-6.3074633364609465,1.377478965243283,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,1.339035337859814,7.819711538461536,0.5748626373626373,0.3023915657404092,-3.5325636963324243,2.4727455089478063,1,10.47087008187013,0.7697613858438629,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2903983159517427,9.694711538461537,-1.175137362637363,0.3023915657404092,-3.615897029665757,2.5611634462548523,1,2.815327904407159,-0.34125791112186254,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,0,0.48393179599951,9.983173076923077,-1.7520604395604396,0.3023915657404092,-3.615897029665757,2.5611634462548523,1,4.831174876889339,-0.8478777552161744,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,0.0,8.415865384615383,1.3825549450549448,0.3023915657404092,-3.615897029665757,2.5611634462548523,1,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2955235821263571,11.579326923076923,1.0556318681318682,0.3023915657404092,-3.002260666029393,1.3035262871066635,1,3.421964170919861,0.3119641110770679,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.2607432364712938,13.415865384615383,5.382554945054945,0.3023915657404092,-3.002260666029393,1.4327372722109288,1,3.498096160447814,1.4034647968581935,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.5382481208392935,18.08894230769231,0.0364010989010989,0.3023915657404092,-3.002260666029393,1.784093471697135,1,9.736339205085779,0.019592823080001754,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,0,0.2581142454655314,15.377403846153843,5.459478021978022,0.3023915657404092,-3.002260666029393,1.784093471697135,1,3.96912699096876,1.409169050278509,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.4435197830358284,19.021634615384617,2.171016483516483,0.3023915657404092,-3.002260666029393,1.533951420443774,1,8.436471257602188,0.9628887597364377,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
