job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,1,0.0576510532021075,-4.125600961538464,-3.123798076923077,-0.3427697245821717,-3.0895812401920715,0.5515141624286883,0,-0.23784524052431985,-0.18009024912533342,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,1,-0.1123948834812802,-2.644831730769233,-2.0853365384615383,-0.4072858536144297,-2.826423345455229,0.4490124325362004,0,0.2972655542074006,0.2343811572596408,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.1506407472417059,-0.8948317307692335,-3.5853365384615383,-0.4718019826466877,-2.5632654507183865,0.336988828669627,0,-0.13479812057866633,-0.5400977752668373,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,1,0.2554332131024406,-1.3467548076923066,-2.6814903846153846,-0.5363181116789457,-2.300107555981548,0.9146741602086728,0,-0.34400590779000534,-0.6849417048456069,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.2199433281204896,-0.8563701923076934,-1.6622596153846154,-0.6008342407112037,-2.036949661244705,0.5717114882331096,0,-0.1883529101993378,-0.36560291200797734,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.4579071870639817,2.345552884615387,-4.066105769230769,-0.6653503697434617,-1.7737917665078626,0.4697859073427484,0,-1.0740455235040398,1.861899055093089,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2,0,0,0.2347654976388993,1.0282451923076934,-1.4314903846153846,-0.7298664987757197,-1.5106338717710202,0.4697859073427484,0,0.24139649426692136,-0.33606455250953016,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.3720428940361362,2.3647836538461533,-2.104567307692308,-0.7943826278079777,-1.2474759770341777,0.1680419882747958,0,-0.8798009543462715,0.7829893118476858,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.3686539693602357,4.778245192307693,-2.9314903846153846,-0.9234148858724938,-0.7211601875604927,0.8472250627283415,0,1.761519056720694,-1.0807055664298255,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2,0,0,-0.1245571955638515,4.201322115384613,-1.7776442307692308,-0.9879310149047518,-0.4580022928236502,0.8472250627283415,0,-0.5233049003526955,0.22141838009487547,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.231913784679711,7.037860576923073,-3.450721153846154,-1.116963272969269,0.0683134966500311,1.1561067604009256,0,1.6321768824423641,-0.8002698026628009,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2,0,0,0.2130797504969948,5.79747596153846,-0.9699519230769234,-1.181479402001527,0.3314713913868736,1.1561067604009256,0,1.23532473139694,-0.2066771137633111,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
3,0,0,0.2359039096772246,7.105168269230767,-3.5853365384615383,-1.245995531033785,0.5946292861237161,1.1561067604009256,0,1.6761369736260971,-0.8457949069316839,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.1513437732729468,9.499399038461531,-2.373798076923077,-1.3105116600660427,0.8577871808605586,0.4201632192872466,1,-1.4376748943061708,0.3592595579496033,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.2027502665812592,10.653245192307692,-0.6814903846153846,-1.3750277890983007,1.120945075597401,0.4676651693711431,1,-2.1599483026959025,0.1381723571533341,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.0661418166139684,10.662860576923071,1.2992788461538458,-1.4395439181305587,1.3841029703342436,0.8982797498232422,1,0.705260968859159,0.08593666317271613,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.0964052023769337,12.42247596153846,3.7800480769230775,-1.5040600471628167,-0.7270081407768672,0.6308635458380252,1,-1.1975913090947092,-0.3644162998503083,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0.135817956019995,12.768629807692308,5.087740384615384,-1.5685761761950747,-0.7270081407768672,0.8482449407227897,1,1.7342092016567512,0.6910064997988447,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,-0.042372767950277,14.393629807692308,7.837740384615384,-1.6330923052273327,-0.7270081407768672,0.5502515871566995,1,-0.6098979358035364,-0.3321067545718225,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0944243499629724,15.624399038461531,9.376201923076923,-1.6976084342595907,-0.7270081407768672,-0.4295343802161415,1,-1.4753237227688212,-0.8853417717081102,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.5295134475893937,-9.659698996655518,-8.15886287625418,-0.6976084342595907,-3.615897029665757,-0.4741397010729411,1,5.11494051839487,4.320227610014467,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,-0.4861011449984067,-9.140468227424748,-7.197324414715718,-0.6976084342595907,-2.758754172522899,0.7694481477064077,1,4.443192071172726,3.4986276389182978,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
