job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,1,0.2496363871344966,-6.308198380566804,3.669028340080972,1.3023915657404093,-3.2825636963324243,0.7263919775333161,1,-1.574755853052379,0.9159229791118929,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,1.25172589460976,-5.7793522267206505,4.611336032388664,1.3023915657404093,-2.4492303629990886,0.8122173843093368,1,-7.234164836256815,5.772128720487921,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,0.4364590243765418,-5.337044534412957,5.726720647773279,1.3023915657404093,-1.6158970296657564,0.8614095608459422,1,-2.3294012505440342,2.4994789068041228,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.2338990379763981,1.0187246963562728,-2.9848178137651824,1.3023915657404093,-4.115897029665756,-0.321400321777034,1,0.2382787264405305,-0.6981460151744919,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1,0,0.0,-4.0101214574898805,7.0728744939271255,1.3023915657404093,-4.115897029665756,-0.321400321777034,1,-0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,-0.3529094965105885,1.8552631578947365,-2.6578947368421053,1.3023915657404093,-4.115897029665756,0.1597855108827115,1,-0.654739986947276,0.9379962933570906,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.2270011292606533,3.0091093117408896,-2.965587044534413,1.3023915657404093,-4.115897029665756,-0.7956718241003404,1,0.6830712118339292,-0.673191608030075,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,0.3540087084791761,3.5571862348178165,-2.0617408906882595,1.3023915657404093,-4.115897029665756,0.2507556086054006,1,1.2592749048077585,-0.729874229931257,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2173458967361528,9.057186234817816,-3.061740890688259,1.3023915657404093,-4.115897029665756,0.4564521277408992,1,1.9685422641128176,-0.6654568194603868,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.2965157522443524,8.028340080971656,-1.0040485829959516,1.3023915657404093,-4.115897029665756,0.4564521277408992,1,-2.3805292983827955,0.2977162208769207,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1,0,-0.1912278081602725,8.826417004048583,-2.600202429149798,1.3023915657404093,-4.115897029665756,0.4564521277408992,1,-1.6878563775927695,0.49723101129933206,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
4,1,0,-3.9793179195304966,8.355263157894736,-1.6578947368421053,1.3023915657404093,-4.115897029665756,0.4564521277408992,1,-33.24824840660349,6.597290235011087,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
5,0,0,0.0,8.412955465587043,-1.7732793522267207,1.3023915657404093,-4.115897029665756,0.4564521277408992,1,0.0,-0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.4223536356515165,9.14372469635627,-1.2348178137651824,1.3023915657404093,-4.115897029665756,1.0054476457843895,1,3.8618853689026293,-0.521529793010982,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.0,-16.469651442307693,-1.998197115384616,-1.6976084342595907,3.738269637000912,0.1437538472339916,1,-0.0,-0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
3,0,0,-0.5029828716389515,6.155348557692307,-3.2481971153846154,-0.4072858536144297,4.134102970334244,0.5572761105449153,1,-3.0960348934867548,1.6337875127455126,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.0123510051060877,8.232271634615387,-3.4020432692307696,-0.3427697245821717,4.196602970334244,-0.168629984626186,1,0.10167682899383558,-0.04201865378940053,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.0644096315523308,9.232271634615389,-1.4020432692307696,-0.2137374665176548,4.321602970334244,-0.2401196644224903,1,0.5946472143766119,-0.0903050903915792,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.0695472970165322,9.376502403846152,0.309495192307692,-0.1492213374853968,4.384102970334244,-0.080338776115294,1,0.6521103976565165,0.021524554064611807,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.3595006130957952,10.414963942307692,2.232572115384615,-0.0847052084531387,3.738269637000912,0.0156881623629665,1,3.744185922630215,0.8026110442613454,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.3092676510802388,14.645733173076929,7.771033653846154,0.3023915657404092,3.738269637000912,0.1437538472339916,1,4.529451496785434,2.4033293245904854,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-1.162435563742295,-13.912296037296038,-2.296620046620047,0.3023915657404092,-0.6158970296657564,1.3725320812548445,1,16.172147687063916,2.6696728185946297,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,1,-0.7585106145332894,-12.921911421911425,-2.2773892773892777,0.3023915657404092,-0.6158970296657564,1.4064201081929095,1,9.801406973578766,1.7274239403240648,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,1,-0.5500530051458767,-12.489219114219118,-1.142773892773893,0.3023915657404092,-0.6158970296657564,0.0671929028882143,1,6.869732505701551,0.6285862139225318,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,1,-0.4921647337722907,-12.08537296037296,0.0495337995337994,0.3023915657404092,3.384102970334244,0.67089324771608,1,5.947994365580798,-0.024378789260282398,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,1,-0.5169171930355043,-11.652680652680656,1.184149184149184,0.3023915657404092,2.963050338755295,0.5313590632335288,1,6.023470974322813,-0.6121070724056787,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.3347592354239186,-8.864219114219118,-2.392773892773893,0.3023915657404092,2.5419977071763498,0.5150142457811562,1,2.967379213306077,0.8010031588873019,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.4119899464255496,-8.344988344988344,-1.4312354312354314,0.3023915657404092,1.699892444018456,0.622318556586432,1,3.4380513011735836,0.5896546086370338,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.1896055265317491,-7.835372960372961,-0.4504662004662005,0.3023915657404092,1.2788398124395073,0.745350278442583,1,1.485630015724145,0.08541088112415039,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.1048671282159441,-7.421911421911425,0.7226107226107223,0.3023915657404092,0.8577871808605586,0.817957663200362,1,0.7783145366889653,-0.07577811129823464,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,0,-0.0629335620103015,-6.864219114219118,1.607226107226107,0.3023915657404092,0.4367345492816135,0.8464512043252466,1,0.43198975927700567,-0.10114846388368968,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.0277301881814269,-6.431526806526808,2.741841491841492,0.3023915657404092,0.0156819177026648,0.7902553675982062,1,0.17834744863888,-0.07603178053240885,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,-0.0598340709238165,-5.296911421911425,4.472610722610723,0.3023915657404092,-0.4053707138762839,0.8452172369836326,1,0.3169357736958219,-0.26761450719131213,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,0.0467221783272879,-4.277680652680651,6.4341491841491845,0.3023915657404092,-1.2474759770341777,0.9215363997029408,1,-0.1998625582817347,0.3006174655661922,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
