job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,1,-0.4986641917326997,-11.00789835164835,-4.555631868131869,-2.6976084342595907,-3.615897029665757,0.2955570991542853,1,5.489244734200442,2.271730483353707,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.064459692397949,-9.161744505494504,-4.24793956043956,-2.6976084342595907,-3.615897029665757,0.2955570991542853,1,-0.5905632326527751,-0.27382087739101274,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.105042579572177,-8.77712912087912,-3.01717032967033,-2.6976084342595907,-3.615897029665757,-0.1065885600738312,1,-0.9219722840952169,-0.3169313544372071,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.2417039193055137,-8.344436813186814,-1.8825549450549453,-2.6976084342595907,-3.615897029665757,0.2603000200897583,1,-2.0168830821444637,-0.45502090852775623,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.1185621359909223,-7.805975274725274,-0.959478021978022,-2.6976084342595907,-3.615897029665757,0.1321345213895881,1,-0.925493102063755,-0.11375776372205938,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.0736939198195729,-7.305975274725274,0.0405219780219781,-2.6976084342595907,-3.615897029665757,-0.0321888232023237,1,-0.5384059560993865,0.0029862233992821495,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0426228279654523,-6.786744505494504,1.0020604395604398,-2.6976084342595907,-3.615897029665757,0.1460869330836693,1,-0.2892702435031709,0.04271064972637014,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.0722065904452247,-6.25789835164835,1.9443681318681316,-2.6976084342595907,-3.615897029665757,0.1230978704889267,1,-0.4518615033253192,0.14039619337254886,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.0367205936555734,-5.767513736263734,2.963598901098901,-2.6976084342595907,-3.615897029665757,0.2756405771762793,1,-0.21178652831227848,0.10882511100535659,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0585228277386109,-5.32520604395604,4.078983516483516,-2.6976084342595907,-3.615897029665757,-0.0082564208816009,1,-0.311646115983049,0.23871364968379816,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0596578355084975,-4.354052197802197,6.136675824175824,-2.6976084342595907,-3.615897029665757,0.039944605084127,1,0.2597533298118955,-0.3661007968876546,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.050878718807545,2.6940247252747263,-3.959478021978022,-2.6976084342595907,-3.615897029665757,0.4454721644930064,1,-0.13706852645782647,0.20145316890487425,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.0043881335477449,-2.690590659340657,6.809752747252747,-2.6976084342595907,-3.615897029665757,0.4454721644930064,1,0.011806671135501805,-0.029882104482067774,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2568344696788189,3.626717032967033,-1.824862637362637,-2.6976084342595907,-3.615897029665757,0.3915458074175362,1,0.9314659458372274,-0.4686876277037237,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.1791687538542028,4.59787087912088,0.2328296703296706,-2.6976084342595907,-3.615897029665757,0.2955570991542853,1,0.8237947957946161,0.04171580189325194,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.3213432426347458,6.76133241758242,1.905906593406593,-2.6976084342595907,-3.615897029665757,0.5546753626647654,1,2.1727084835973596,0.6124502048842166,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,-0.1286040532363142,10.569024725274726,-3.709478021978022,-2.6976084342595907,-3.615897029665757,0.3947594728405725,0,-1.3592194184251518,0.47705390901739897,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,0.1589030563946201,7.51133241758242,2.405906593406593,-2.6976084342595907,-3.615897029665757,0.3947594728405725,0,1.1935736787498374,0.3823059110922762,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0.3542798785347276,11.63633241758242,-1.844093406593407,-2.6976084342595907,-3.615897029665757,0.8376557051552496,1,4.122518435490813,-0.6533251880946043,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0.1833267640028664,12.607486263736266,0.2135989010989005,-2.6976084342595907,-3.615897029665757,0.63038080968016,1,2.3112896589413583,0.039158395333029734,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0.284436672632478,13.26133241758242,2.905906593406594,-2.6976084342595907,-3.615897029665757,0.5107567133309896,1,3.772009267530359,0.8265464024093507,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0.3227746139855005,15.184409340659348,5.059752747252747,-2.6976084342595907,-3.615897029665757,0.6695940943028695,1,4.9011418635291495,1.6331597398565811,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0.3324372104217703,15.251717032967033,6.925137362637362,-2.6976084342595907,-3.615897029665757,0.6879609600550118,1,5.07023826458176,2.3021733466227405,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.0657197264548337,-11.70236013986014,-1.958916083916084,2.3023915657404093,-0.6158970296657564,-0.0541293290998776,0,-0.7690759072675579,-0.1287394291829391,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.2599187063730364,-9.654283216783211,-0.0550699300699299,2.3023915657404093,-0.6158970296657564,-1.2235587320217327,0,-2.5093288046652087,-0.014313704983829756,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.1907899818472698,8.191870629370626,-1.7473776223776225,2.3023915657404093,-0.6158970296657564,-0.7765620114182319,0,1.5629268486728045,-0.33338214485375206,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0440463119149701,9.16302447552448,0.310314685314685,2.3023915657404093,-0.6158970296657564,-0.154206740935356,0,0.40359743413345656,0.013668217421166405,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2682869560435534,9.316870629370626,2.002622377622377,2.3023915657404093,-0.6158970296657564,-0.6034594678680385,0,2.499594861005431,0.5372774617970111,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2796259349240708,11.807255244755249,3.0218531468531467,2.3023915657404093,-0.6158970296657564,-0.900569088676173,0,3.3016147867018244,0.8449885113920566,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,-0.4146337618375195,-11.071949602122018,-8.614721485411142,2.1870069503557943,-3.615897029665757,0.8083098392976691,1,4.590804114403279,3.5719543766785256,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.4258330418599421,-10.79310344827586,-9.172413793103448,2.0716223349711798,-3.615897029665757,0.9474491551307,1,4.596060072488339,3.905916866715331,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.402967968532554,-10.29310344827586,-8.172413793103448,1.9562377195865623,-3.615897029665757,1.0655738994897774,1,4.147790986447149,3.293220984214321,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.2604830820102615,-9.802718832891244,-7.153183023872679,1.840853104201948,-3.615897029665757,1.271618869085685,1,2.553442413671545,1.8632831602418374,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.2037890387500445,-9.302718832891244,-6.153183023872679,1.7254684888173326,-3.615897029665757,1.317710835371889,1,1.8957921287168427,1.2539512536881054,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.1832391803110358,-8.802718832891244,-5.153183023872679,1.6100838734327176,-3.615897029665757,1.1987820254580033,1,1.6130029834475095,0.9442650332871746,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.0082955603556245,-7.350795755968171,-4.057029177718833,1.4946992580481009,-3.615897029665757,1.5887407390656527,1,0.06097896985550239,0.03365533040829622,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.0153663684378209,-6.975795755968171,-2.807029177718833,1.379314642663486,-3.615897029665757,0.0606434747767128,1,0.10719264773319429,0.04313384456054103,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,0,0.0231859945506949,-6.514257294429708,-1.730106100795756,1.263930027278871,-3.615897029665757,0.4063798273456704,1,-0.15103953413047172,-0.040114230625174406,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.0216807731175405,-5.966180371352785,-0.8262599469496017,1.148545411894256,-3.615897029665757,0.5245805331389128,1,0.12935140300962325,0.017913954445925362,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.0550747342410842,-5.523872679045091,0.2891246684350133,1.0331607965096392,-3.615897029665757,0.4035820304856052,1,0.3042258197799942,-0.015923464276599943,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.1292375369399856,-4.995026525198938,1.231432360742705,0.9177761811250242,-3.615897029665757,0.3788352751928521,1,0.6455449250666057,-0.159147285210579,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.0539591202353122,-4.504641909814325,2.250663129973475,0.8023915657404093,-3.615897029665757,0.6567558078241209,1,0.2430665144286975,-0.12144380243942282,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,1,-0.0095412343684655,-3.9854111405835546,3.2122015915119366,0.6870069503557943,-3.615897029665757,0.7184870591270016,1,0.0380257417470011,-0.030648368223373267,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.0086421385413544,-3.495026525198938,4.231432360742705,0.5716223349711793,-3.615897029665757,0.5460445863317567,1,0.030204503436477684,-0.03656862468990876,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.0260084299056693,-2.4854111405835546,6.212201591511937,0.4562377195865625,-3.615897029665757,0.6252556161030736,1,0.06464164143663696,-0.16156960965272546,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.7284409006098196,-1.4373342175066313,8.11604774535809,0.3408531042019476,-3.615897029665757,0.5840062141040079,0,-1.0470130318778408,5.912061129020943,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.1082575067224986,-0.4950265251989378,10.231432360742708,0.2254684888173326,-3.615897029665757,0.739595502862473,0,-0.05359033737953914,1.1076293575738936,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.1021394577821865,0.5242042440318286,12.192970822281168,0.1100838734327176,-3.615897029665757,0.7285828228706155,0,0.05354193725253195,1.2453834285418193,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.057895576851191,1.5434350132625951,14.15450928381963,-0.0053007419518991,-3.615897029665757,0.9193144977086014,0,0.08935806042516357,0.8194834800322758,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.1213637055032492,2.5818965517241423,16.077586206896548,-0.120685357336514,-3.615897029665757,0.8872300162408493,0,0.31334853274330343,1.9512354376168939,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.2424793223990091,15.985742705570289,-8.730106100795757,-0.236069972721129,-3.615897029665757,0.7715635335142057,0,-3.876212059291586,2.1168702117924107,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
2,0,0,-0.1664198319910923,3.5338196286472154,16.173740053050395,-0.351454588105744,-3.615897029665757,0.7715635335142057,0,-0.5880976688862938,-2.691631102296247,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,2.088860306162691,17.053050397877982,-6.864721485411141,-0.4668392034903599,-3.615897029665757,0.7994552619618567,0,35.6214400751192,-14.33944422373752,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.0279625304148485,18.629973474801066,-4.018567639257295,-0.5822238188749758,-3.615897029665757,1.1374524591903388,0,0.5209411999169455,-0.11236931983685805,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.1441066687278001,19.59151193633952,-1.9416445623342176,-0.6976084342595907,-3.615897029665757,0.9419157440414948,0,-2.8232675204868203,0.2798039297314315,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0.0542854646270907,24.43766578249337,-7.63395225464191,0.8023915657404093,-3.615897029665757,0.9184822724531898,0,1.3266100414042086,-0.4144126450842627,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
2,0,0,-0.1298460474121032,21.533819628647212,-1.8262599469496024,0.8023915657404093,-3.615897029665757,0.9184822724531898,0,-2.7960813644650044,0.23713263565844314,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,-0.5971708127356434,-2.28846153846154,4.410256410256411,0.3023915657404092,-1.6158970296657564,0.6079192020378201,1,1.3666024368373388,-2.633676404885402,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0,-1.375,6.583333333333334,0.3023915657404092,-1.1158970296657564,3.5202400759165755,1,-0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.6942087481221799,-0.2307692307692299,8.294871794871794,0.3023915657404092,-0.6158970296657564,1.0817303412280577,0,0.16020201879742552,-5.7583725645519275,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.5608472068781083,0.75,10.333333333333334,0.3023915657404092,-0.1158970296657564,0.5929937374681433,0,-0.4206354051585812,-5.795421137740453,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.3109485229215956,1.7403846153846132,12.352564102564104,0.3023915657404092,0.3841029703342435,0.6650220594648459,0,0.5411700254693147,3.841011561986633,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.6503478973454122,2.7019230769230766,14.42948717948718,0.3023915657404092,0.8841029703342436,0.4115765222011305,0,-1.7571899918659692,-9.38418664695207,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.9179428701835156,9.730769230769226,2.3717948717948723,0.3023915657404092,1.3841029703342436,0.8300721516349245,0,8.932290236785745,2.1771721921019287,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.7231563241570491,3.0576923076923066,15.717948717948715,0.3023915657404092,1.3841029703342436,0.8300721516349245,0,-2.211189529634053,-11.366534018160795,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.9857787944355936,10.740384615384611,4.352564102564104,0.3023915657404092,-1.9908970296657564,1.027274869712171,0,10.587643397928439,4.290665393729284,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,1.02841226448776,15.17307692307692,13.487179487179487,0.3023915657404092,-1.9908970296657564,1.2568892702739145,0,15.604178397708509,13.870380797963122,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.600618309604398,-14.360897435897437,-1.9448717948717948,-0.6976084342595907,-1.6158970296657564,-0.0323199590733231,0,8.625417942350852,1.168125609833169,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,1,1,-0.6607537822487712,-11.437820512820512,-1.791025641025641,-0.6976084342595907,-1.6158970296657564,0.5312257761062025,1,7.557583164528733,1.1834269664122223,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,-0.1960023554260717,-5.668589743589742,-1.3294871794871794,-0.6976084342595907,-1.6158970296657564,-0.2640185363557954,1,1.1110569416876612,0.2605826186882517,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,1,0.0,-5.139743589743588,-0.3871794871794871,-0.6976084342595907,-1.6158970296657564,0.0121104210184146,1,-0.0,-0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,1,-1.118819190431199,-3.726282051282052,-1.2141025641025642,-0.6976084342595907,-1.6158970296657564,-0.582130575980047,1,4.169035867933693,1.3583612478696738,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.0,-3.274358974358975,-0.1179487179487179,-0.6976084342595907,-1.6158970296657564,-0.921773289202246,1,-0.0,-0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.0038427566174075,3.3217948717948715,-1.3102564102564105,-0.6976084342595907,-1.6158970296657564,0.3552740992228109,1,0.01276484922526004,-0.005034996491013417,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.1517787867146998,4.302564102564105,0.7282051282051283,-0.6976084342595907,-1.6158970296657564,0.980755240592309,0,0.653037959249401,0.11052609083839679,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.6564196633015067,5.254487179487178,2.824358974358974,-0.6976084342595907,-1.6158970296657564,1.4297566602257064,1,3.449148705181057,1.8539647669913066,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
