job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,0,0.1799469018735351,4.8479567307692335,1.4290865384615388,-2.6976084342595907,-3.615897029665757,-0.4583615869795192,1,0.8723747941188753,0.25715969510532843,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,0.2568485914461806,8.271033653846153,0.5829326923076925,-2.6976084342595907,-3.615897029665757,-0.3704234638982679,1,2.124403343794341,0.1497254409271606,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
2,0,0,0.1179144922420292,7.82872596153846,1.467548076923077,-2.6976084342595907,-3.615897029665757,-0.3704234638982679,1,0.9231202466567993,0.17304518633115104,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,0.2668265964461795,9.222956730769234,2.6790865384615388,-2.6976084342595907,-3.615897029665757,-0.3753615829663683,1,2.4609301536415376,0.714851542642469,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,0.3158418998157053,10.174879807692308,4.775240384615385,-2.6976084342595907,-3.615897029665757,-0.2821868244726424,1,3.213653368857997,1.5082209951536025,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,1,1,-4.483794648747495,2.9326923076923066,1.4423076923076923,-0.6976084342595907,-2.473039886808614,0.0797580262859227,1,-13.149590075653707,-6.46701151261658,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
3,0,0,0.4349031500230742,6.076923076923073,-0.8461538461538463,-0.9476084342595908,-3.615897029665757,-0.5637027393523564,0,2.642872988601757,-0.36799497309644746,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0.7188746430783199,7.153846153846153,0.9999999999999998,-1.0309417675929238,0.3841029703342435,0.0797580262859227,1,5.142718600483366,0.7188746430783198,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,-0.3350970570187934,-13.256631299734742,-1.4867374005305038,-1.6976084342595907,0.8841029703342436,-1.0704577921068932,1,4.442258134524334,0.4982013274775429,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,-0.297819724020421,-12.218169761273206,-1.5636604774535807,-1.6976084342595907,4.384102970334244,-0.3223388189991425,1,3.6388119463370394,0.46568893185686516,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
