E5971500,EMPLOYERS_ALL_IND_1986.15
E5971600,EMPLOYERS_ALL_IND_1986.16
E5971700,EMPLOYERS_ALL_IND_1986.17
E5971800,EMPLOYERS_ALL_IND_1986.18
E5971900,EMPLOYERS_ALL_IND_1986.19
E5972000,EMPLOYERS_ALL_IND_1986.20
E5972100,EMPLOYERS_ALL_IND_1986.21
E5972200,EMPLOYERS_ALL_IND_1986.22
E5972300,EMPLOYERS_ALL_IND_1986.23
E5972400,EMPLOYERS_ALL_IND_1986.24
E5972500,EMPLOYERS_ALL_IND_1986.25
E5972600,EMPLOYERS_ALL_IND_1986.26
E5972700,EMPLOYERS_ALL_IND_1986.27
E5980100,EMPLOYERS_ALL_IND_1987.01
E5980200,EMPLOYERS_ALL_IND_1987.02
E5980300,EMPLOYERS_ALL_IND_1987.03
E5980400,EMPLOYERS_ALL_IND_1987.04
E5980500,EMPLOYERS_ALL_IND_1987.05
E5980600,EMPLOYERS_ALL_IND_1987.06
E5980700,EMPLOYERS_ALL_IND_1987.07
E5980800,EMPLOYERS_ALL_IND_1987.08
E5980900,EMPLOYERS_ALL_IND_1987.09
E5981000,EMPLOYERS_ALL_IND_1987.10
E5981100,EMPLOYERS_ALL_IND_1987.11
E5981200,EMPLOYERS_ALL_IND_1987.12
E5981300,EMPLOYERS_ALL_IND_1987.13
E5981400,EMPLOYERS_ALL_IND_1987.14
E5981500,EMPLOYERS_ALL_IND_1987.15
E5981600,EMPLOYERS_ALL_IND_1987.16
E5981700,EMPLOYERS_ALL_IND_1987.17
E5981800,EMPLOYERS_ALL_IND_1987.18
E5981900,EMPLOYERS_ALL_IND_1987.19
E5982000,EMPLOYERS_ALL_IND_1987.20
E5982100,EMPLOYERS_ALL_IND_1987.21
E5982200,EMPLOYERS_ALL_IND_1987.22
E5982300,EMPLOYERS_ALL_IND_1987.23
E5982400,EMPLOYERS_ALL_IND_1987.24
E5982500,EMPLOYERS_ALL_IND_1987.25
E5982600,EMPLOYERS_ALL_IND_1987.26
E5982700,EMPLOYERS_ALL_IND_1987.27
E5982800,EMPLOYERS_ALL_IND_1987.28
E5990100,EMPLOYERS_ALL_IND_1988.01
E5990200,EMPLOYERS_ALL_IND_1988.02
E5990300,EMPLOYERS_ALL_IND_1988.03
E5990400,EMPLOYERS_ALL_IND_1988.04
E5990500,EMPLOYERS_ALL_IND_1988.05
E5990600,EMPLOYERS_ALL_IND_1988.06
E5990700,EMPLOYERS_ALL_IND_1988.07
E5990800,EMPLOYERS_ALL_IND_1988.08
E5990900,EMPLOYERS_ALL_IND_1988.09
E5991000,EMPLOYERS_ALL_IND_1988.10
E5991100,EMPLOYERS_ALL_IND_1988.11
E5991200,EMPLOYERS_ALL_IND_1988.12
E5991300,EMPLOYERS_ALL_IND_1988.13
E5991400,EMPLOYERS_ALL_IND_1988.14
E5991500,EMPLOYERS_ALL_IND_1988.15
E5991600,EMPLOYERS_ALL_IND_1988.16
E5991700,EMPLOYERS_ALL_IND_1988.17
E5991800,EMPLOYERS_ALL_IND_1988.18
E5991900,EMPLOYERS_ALL_IND_1988.19
E5992000,EMPLOYERS_ALL_IND_1988.20
E5992100,EMPLOYERS_ALL_IND_1988.21
E5992200,EMPLOYERS_ALL_IND_1988.22
E5992300,EMPLOYERS_ALL_IND_1988.23
E5992400,EMPLOYERS_ALL_IND_1988.24
E5992500,EMPLOYERS_ALL_IND_1988.25
E5992600,EMPLOYERS_ALL_IND_1988.26
E5992700,EMPLOYERS_ALL_IND_1988.27
E5992800,EMPLOYERS_ALL_IND_1988.28
E5992900,EMPLOYERS_ALL_IND_1988.29
E5993000,EMPLOYERS_ALL_IND_1988.30
E5993100,EMPLOYERS_ALL_IND_1988.31
E5993200,EMPLOYERS_ALL_IND_1988.32
E6000100,EMPLOYERS_ALL_IND_1989.01
